Name,SAL_CODE,geo
1760,2600515,"list(c(27.9416001788816, 27.9416176132402, 27.9415974966726, 27.941582744523, 27.9416001788816, -32.9549293584721, -32.9549203559188, -32.9549034761289, -32.9549102280453, -32.9549293584721))"
1769,2600515,"list(c(27.9423174766793, 27.9423282055154, 27.9423134533658, 27.9422987012162, 27.9423174766793, -32.9548009920357, -32.9547987413942, -32.9547715233898, -32.9547794006372, -32.9548009920357))"
1788,2600515,"list(c(27.9417367400612, 27.9417501511063, 27.9417353989567, 27.9417206468071, 27.9417367400612, -32.9543437271098, -32.9543347244969, -32.9543144686145, -32.9543234712294, -32.9543437271098))"
1802,2600515,"list(c(27.9404824247773, 27.9404931536133, 27.9404757192547, 27.9404623082097, 27.9404824247773, -32.9548938242369, -32.9548836963603, -32.9548668165635, -32.9548758191222, -32.9548938242369))"
1810,2600515,"list(c(27.9407930955139, 27.940806506559, 27.9408225998131, 27.9408078476635, 27.9407930955139, -32.9541099150636, -32.9541301709929, -32.9541166670406, -32.9540975364379, -32.9541099150636))"
1811,2600515,"list(c(27.9409124538151, 27.9409325703827, 27.9409486636368, 27.9409272059646, 27.9409124538151, -32.9540311419611, -32.9540468965873, -32.9540333926222, -32.9540176379937, -32.9540311419611))"
1840,7992927,"list(c(28.0717760419332, 28.0717840885603, 28.0717974996054, 28.0717867707693, 28.0717760419332, -25.5849911636873, -25.5850008405143, -25.5849911636873, -25.5849826964631, -25.5849911636873))"
1869,7970781,"list(c(28.3320498236133, 28.3320592113449, 28.3320954211666, 28.3320873745396, 28.3320498236133, -26.2039990652787, -26.204043586479, -26.2040363668261, -26.203990642347, -26.2039990652787))"
1872,7970781,"list(c(28.3328205586258, 28.3328218997303, 28.3328393340889, 28.3328393340889, 28.3328728617016, 28.332871520597, 28.332855427343, 28.332855427343, 28.3328205586258, -26.2027578072473, -26.2027794664427, -26.2027770598656, -26.2027927026156, -26.2027914993273, -26.2027698401341, -26.2027698401341, -26.2027566039586, -26.2027578072473))"
1907,7972781,"list(c(28.3753143881173, 28.3753023181767, 28.3753318224759, 28.3753438924165, 28.3753143881173, -26.1169363514025, -26.1169483931456, -26.1169833141936, -26.1169700682801, -26.1169363514025))"
1927,4670083,"list(c(26.6926934590798, 26.6927082112294, 26.6927015057069, 26.69272028117, 26.692731010006, 26.6927444210511, 26.6927551498872, 26.6927082112294, 26.6926934590798, -27.8771674939919, -27.87717223588, -27.8772125419206, -27.8772196547497, -27.877169864936, -27.877174606824, -27.877098736591, -27.877090438281, -27.8771674939919))"
1939,4670083,"list(c(26.6968815242695, 26.6968694543289, 26.6969070052551, 26.6969177340912, 26.6968815242695, -27.8778324202954, -27.8778466458717, -27.8778703551616, -27.8778502022656, -27.8778324202954))"
1948,4670083,"list(c(26.6977710384739, 26.6977777439964, 26.6979091722382, 26.6979051489246, 26.6977710384739, -27.8781259331028, -27.8781354167949, -27.878102223869, -27.8780879983261, -27.8781259331028))"
1949,4670083,"list(c(26.6979051489246, 26.6979118544472, 26.6979373354328, 26.6979346532238, 26.6979051489246, -27.8781081511779, -27.8781188203332, -27.8781105221014, -27.8780998529453, -27.8781081511779))"
1950,4670083,"list(c(26.6971863169087, 26.6971822935951, 26.6972050923718, 26.6972104567898, 26.6971863169087, -27.8785396583983, -27.8785621820796, -27.8785669239067, -27.8785444002263, -27.8785396583983))"
1953,4670083,"list(c(26.6970267254723, 26.6970159966362, 26.6971071917427, 26.6971179205788, 26.6970267254723, -27.8788554593473, -27.8788708702427, -27.8789218447273, -27.8789052483861, -27.8788554593473))"
1954,4670083,"list(c(26.6969931978596, 26.6970159966362, 26.6970361132038, 26.6970159966362, 26.6969931978596, -27.8790380190445, -27.8790486881082, -27.8790226081729, -27.8790095682029, -27.8790380190445))"
1979,7990580,"list(c(28.2607112803915, 28.2607193270186, 28.2607609012583, 28.2607515135267, 28.2607112803915, -25.8718153653887, -25.8718322590336, -25.8718201921446, -25.8718057118762, -25.8718153653887))"
