Name,SAL_CODE,geo
919,5660168,"list(c(30.4142215886949, 30.4142081776498, 30.4143020549654, 30.4143114426969, 30.4142215886949, -29.5614297708174, -29.5614519348704, -29.5615044286609, -29.5614799315621, -29.5614297708174))"
1263,7600704,"list(c(27.862156948452, 27.862173041706, 27.8621529251384, 27.8621368318843, 27.862156948452, -26.6822911582832, -26.6822839685395, -26.682256407851, -26.6822659941782, -26.6822911582832))"
1264,7600704,"list(c(27.8597457964737, 27.8597525019962, 27.8597712774593, 27.8597645719368, 27.8597457964737, -26.677526582913, -26.6775361696378, -26.677526582913, -26.6775181945281, -26.677526582913))"
1429,1993871,"list(c(18.4487691458036, 18.4487664635946, 18.4487932856847, 18.4487986501028, 18.4487691458036, -33.9275118192911, -33.9275229470296, -33.927529623672, -33.9275184959344, -33.9275118192911))"
1432,1993871,"list(c(18.4483453567792, 18.4483413334657, 18.4484365518858, 18.4484365518858, 18.4483453567792, -33.927774433532, -33.9277900123174, -33.9278167188002, -33.9278011400196, -33.927774433532))"
1845,7985655,"list(c(27.8953417646803, 27.8953310358442, 27.8953739511885, 27.8953819978155, 27.8953417646803, -26.2900491151936, -26.2901513178883, -26.2901573298087, -26.2900563295044, -26.2900491151936))"
1846,7985655,"list(c(27.8949887599121, 27.8949887599121, 27.8950397218834, 27.8950383807788, 27.8949887599121, -26.2913484882469, -26.2913701309355, -26.2913737380499, -26.2913508929902, -26.2913484882469))"
1918,1992061,"list(c(18.4307290918792, 18.4307398207152, 18.4307572550738, 18.4307465262378, 18.4307290918792, -34.1346148379882, -34.1346281587192, -34.1346192782321, -34.1346081776219, -34.1346148379882))"
1959,7971510,"list(c(28.3150140614175, 28.3150221080446, 28.3151065976285, 28.3150918454789, 28.3150140614175, -26.190874568274, -26.1908950262682, -26.190858923923, -26.1908432795699, -26.190874568274))"
2124,9770121,"list(c(27.2847568995003, 27.2847582406048, 27.2847783571724, 27.2847756749634, 27.2847568995003, -24.7854115366027, -24.7854224947111, -24.7854237122787, -24.7854127541703, -24.7854115366027))"
2615,8610209,"list(c(29.9928726489429, 29.9928766722564, 29.9929383630637, 29.9929303164367, 29.9928726489429, -26.5136639669287, -26.5136855679665, -26.5136711672751, -26.5136495662347, -26.5136639669287))"
2621,8610209,"list(c(29.9954742799974, 29.9954796444154, 29.9955802272535, 29.9955748628354, 29.9954742799974, -26.515840507721, -26.5158609083146, -26.515845307861, -26.5158237072295, -26.515840507721))"
2622,8610209,"list(c(29.9922135924972, 29.9922162747062, 29.9922833299316, 29.992276624409, 29.9922135924972, -26.5175012528282, -26.5175228531441, -26.5175096529515, -26.5174892526509, -26.5175012528282))"
2815,7972079,"list(c(28.3970006712229, 28.3970006712229, 28.3970717497618, 28.3970717497618, 28.3970006712229, -26.2915383911011, -26.2915600337543, -26.2915540219066, -26.2915347839919, -26.2915383911011))"
3655,9760023,"list(c(29.4776436049176, 29.4776892024709, 29.4777267533971, 29.4776838380528, 29.4776436049176, -24.3116384135811, -24.3117789636183, -24.3117655197085, -24.3116274140064, -24.3116384135811))"
3664,9760023,"list(c(29.4775926429463, 29.4776838380528, 29.4778501350118, 29.4777589399053, 29.4775926429463, -24.3112900932524, -24.3115663052407, -24.3115198625591, -24.3112363173971, -24.3112900932524))"
3666,9760023,"list(c(29.4779677514808, 29.4780401711242, 29.4782239024417, 29.4781809870975, 29.4781608705298, 29.4781555061118, 29.4781260018127, 29.4781219784991, 29.4780763809459, 29.4780643110053, 29.4780294422881, 29.4780240778701, 29.478010666825, 29.478005302407, 29.4779677514808, -24.3151286907949, -24.3153474538949, -24.3152961240394, -24.3151653550279, -24.3151726878733, -24.3151531336181, -24.315164132887, -24.3151445786305, -24.3151555779002, -24.3151348015011, -24.3151458007716, -24.3151299129362, 
-24.3151311350774, -24.3151189136643, -24.3151286907949))"
3673,9760023,"list(c(29.4787538225181, 29.4787766212947, 29.4787927145488, 29.4788034433849, 29.4787860090263, 29.4788101489074, 29.4791065330036, 29.4790488655098, 29.4787538225181, -24.3160051305542, -24.3160674593132, -24.3160637929165, -24.3160967904834, -24.316101679011, -24.3161750069038, -24.3160931240875, -24.3159232476281, -24.3160051305542))"
3674,9760023,"list(c(29.479089098645, 29.4791078741081, 29.4791320139892, 29.4791051918991, 29.479089098645, -24.3160295732085, -24.3160967904834, -24.3160931240875, -24.3160197961473, -24.3160295732085))"
3677,9760023,"list(c(29.4791427428253, 29.4791642004974, 29.4791829759605, 29.4791615182884, 29.4791427428253, -24.3161982273944, -24.3162642224495, -24.3162568896673, -24.3161945610014, -24.3161982273944))"
3679,9760023,"list(c(29.4788181955345, 29.4789013440139, 29.4788208777435, 29.478740411473, 29.4788181955345, -24.3169351702273, -24.3169156162439, -24.3166638584387, -24.3166858567134, -24.3169351702273))"
3682,9760023,"list(c(29.4790394777782, 29.479094463063, 29.4794136459358, 29.4793573195465, 29.4790394777782, -24.3168789525169, -24.3170476055731, -24.3169596127022, -24.3167885152785, -24.3168789525169))"
3691,9760023,"list(c(29.4784753869744, 29.4784646581383, 29.4784941624375, 29.4785075734826, 29.4784753869744, -24.3146377037506, -24.3146535916478, -24.3146707016886, -24.314651147356, -24.3146377037506))"
3694,9760023,"list(c(29.4789179514618, 29.4789045404168, 29.4789957355233, 29.4790037821503, 29.4789179514618, -24.3146450366265, -24.31466459096, -24.3147098103447, -24.314697588891, -24.3146450366265))"
