Name,SAL_CODE,latestImageYear,installationYear,Zan Notes,Sam Notes
650,7971041,2024,2023,,"There Mar 2024, but not Dec 2022"
666,7971041,2024,2012,,"One solar panel installed 2012, the others 2020"
673,7971041,2024,2022,,
706,1992362,2024,2022,,
719,1670033,2024,2022,,
751,1670033,2023,2022,,
756,7630202,2024,2023,"Nothing April 2023, but there Feb 2024 ",
757,7630202,2024,2023,"Nothing April 2023, but there Feb 2024 ",
764,7630202,2024,2023,"Nothing April 2023, but there Feb 2024 ",
795,7630202,2024,2022,,
796,7630202,2024,Earlier than 2008,Maybe this is a pool panel though? Built earlier than 2008.,
828,7630202,2024,2023,,
840,7630202,2024,2023,,
842,7630202,2024,2022,,
859,7630218,2024,2022,,
877,7630218,2024,2023,,"There Feb 2024, not there April 2023"
904,7981606,2024,2022,,"There Jan 2023, not there Apr 2022"
907,7981606,2024,2023,,"There Feb 2024, but not there Jan 2023"
914,7981606,2024,2013,,This is a solar geyser
936,1640099,2024,2022,,So hard to see! Possibly 2019 with the other panels
950,1640099,2024,2014,,
951,1640099,2024,2020,,
965,1640099,2024,2021,,"Nothing June 2021, then there Jan 2022"
978,1640099,2024,2011,,Could be 2010 (2009 nothing then skips to Oct 2011)
992,1760080,2024,2018,,
1011,1760080,2024,2022,,
1013,1760080,2024,2011,,This is a solar geyser. Prob installed earlier because skips from 2006 to 2011 (nothing in 2006)
1017,1760080,2024,2016,,"Nothing May 2016, there Feb 2017"
1022,1760080,2024,2017,,
1025,1760080,2024,2019,,
1036,1790052,2022,2022,,Not updated to 2024? Only image from 2022. 
1037,1790052,2022,2022,,Not updated to 2024? Only image from 2022. 
1058,1790052,2022,2018,,
1069,1790052,2022,2021,,
1072,1790052,2022,2015,,"There are the beginning of 2016, but may be earlier as building being renovated in Aug 2013, so possibly installed between 2014 and March 2016"
1086,1990751,2024,2023,,"Not there Dec 2022, but there Jan 2023"
1093,1990751,2024,2023,,
1128,1991933,2024,2021,,"Not there Aug 2021, but there Jan 2022"
1137,1640095,2024,2022,,
1157,1640095,2024,2022,,
1160,1640095,2024,2020,,"Started clearing land for building beginning of 2019, built with solar panel by Feb 2020"
1164,1640095,2024,2021,,"Panel not there July 2020, there Feb 2022"
1176,1640095,2024,2019,,Built sometime between Feb 2019 and Feb 2020
1189,1640095,2024,2022,,
1198,5040039,2024,2022,,Built between Oct 2021 and Apr 2023
1205,7973884,2024,2022,,
1212,5992494,2023,2022,,"I am actually not 100% sure that this is a solar panel, I think it is a degraded roof, but please check"
1213,3840031,2023,2023,,
1228,7970353,2024,2023,,Built between Oct 2022 and Feb 2024
1235,7970353,2024,2023,,Built between Oct 2022 and Feb 2024
1246,9770100,2023,2013,,"Possibly installed earlier, but think its 2013"
1271,7981590,2024,2019,,
1274,7981590,2024,2007,,"This is a solar geyser, could have been built earlier than 2007 (next is 1985)"
1284,7981590,2024,2023,,Built between Jan 2023 and March 2024
1288,7981590,2024,2022,,
1293,7981590,2024,2023,,Built between Jan 2023 and March 2024
1318,7981590,2024,2010,,Built between Feb 2010 and March 2011 
1323,7981590,2024,2023,,Built between Jan 2023 and March 2024
1338,7981590,2024,2023,,Built between Jan 2023 and March 2024
1345,7981590,2024,2023,,Built between Jan 2023 and March 2024
1366,1720039,2023,2022,,Built between Apr 2021 and Apr 2023
1373,1720039,2023,2017,,Building was modified some time between Apr 2017 and Apr 2018 & panels were added with renovations
1375,1720039,2023,2017,,Building was modified some time between Apr 2017 and Apr 2018 & panels were added with renovations
1397,4990886,2024,2020,,
1400,5991148,2023,2022,,
1420,7993607,2024,2022,,Built some time between Jul 2022 and Apr 2023
1423,7993253,2024,2022,,Built some time between Jul 2022 and Apr 2023
1426,7993253,2024,2023,,Built between May 2023 and Feb 2024
1441,6620510,2024,2022,,Built between Dec 2021 and Apr 2022
1446,7990649,2024,2008,,"There since 2004, not sure if there before. Please check this one."
1464,7990649,2024,2023,,Built between Apr 2023 and Feb 2024
1469,7971827,2024,2023,,Built between Oct 2022 and Feb 2024
1471,7971827,2024,2023,,Built between Oct 2022 and Feb 2024
1496,7971827,2024,2021,,Built between Dec 2021 and Jan 2022
1500,7971827,2024,2023,,Built between Oct 2022 and Feb 2024
1527,5991989,2024,2012,,
1552,5991989,2024,2023,,Built between Jan 2023 and Jan 2024
1566,7990477,2024,2016,,Built between Sept 2016 and May 2017
1600,7990477,2024,2023,,Built between Oct 2022 and Feb 2024
1611,7990477,2024,2023,,Built between Oct 2022 and Feb 2024
1614,7990477,2024,2023,,Built between Oct 2022 and Feb 2024
1620,7990477,2024,2023,,Built between Oct 2022 and Mar 2024
1625,6750010,2023,2022,,Roof and panels built between May 2021 and Apr 2023
1654,8740046,2022,2021,,Built between Sept 2021 and Feb 2022
1656,8740046,2022,2010,,"House not there in 2004, but there with panels in 2010"
1683,1830064,2024,2022,,
1691,1830064,2024,2019,,
1702,2600515,2024,2020,,
1703,2600515,2024,2020,,
1709,2600515,2024,2020,,
1723,2600515,2024,2021,,
1744,2600515,2024,2022,,
1760,2600515,2024,2015,,
1769,2600515,2024,2016,,
1788,2600515,2024,2018,,
1802,2600515,2024,2021,,
1810,2600515,2024,2019,,
1811,2600515,2024,2018,,
1840,7992927,2024,2022,,
1869,7970781,2024,2021,,
1872,7970781,2024,2022,,Built between Oct 2022 and Jan 2023
1907,7972781,2024,2023,,"Half built beginning 2023, rest built by Mar 2024"
1927,4670083,2024,2023,,Built between Aug 2022 and Apr 2023
1939,4670083,2024,2023,,Built between Apr 2023 and Mar 2024
1948,4670083,2024,2020,,
1949,4670083,2024,2022,,Built between Aug 2022 and Apr 2023
1950,4670083,2024,2014,,This is a solar geyser
1953,4670083,2024,2022,,Built between Aug 2022 and Apr 2023
1954,4670083,2024,2016,,Built between Aug 2016 and Jun 2017
1979,7990580,2024,2023,,Built between Apr 2023 and Feb 2024
1988,7990580,2024,2023,,Built between Apr 2023 and Feb 2024
1998,7990580,2024,2022,,
2002,7990580,2024,2023,,Built between Apr 2023 and Feb 2024
2010,7990580,2024,2023,,Built between Oct 2022 and Feb 2024
2023,7990580,2024,2022,,
2026,7990580,2024,2020,,"First half built in 2020, top half built in 2022"
2032,7990580,2024,2022,,
2045,7990580,2024,2023,,Built between Apr 2023 and Feb 2024
2046,7990580,2024,2023,,Built between Apr 2023 and Feb 2024
2065,7990580,2024,2016,,"Pretty sure 2016, but may have been 2015"
2077,7990580,2024,2015,,
2080,7990580,2024,2022,,Built between Oct 2022 and Apr 2023
2090,7990580,2024,2022,,
2091,7990580,2024,2022,,
2092,7990580,2024,2022,,
2109,7990580,2024,2023,,Built between Apr 2023 and Feb 2024
2127,7990487,2024,2018,,
2132,7990487,2024,2020,,
2136,7990487,2024,2023,,Built between Apr 2023 and Feb 2024
2152,7990487,2024,2015,,Built between Sept 2015 and May 2016
2182,7990487,2024,2020,,Built between Nov 2020 and June 2021
2187,7990487,2024,2022,,Built between Jul 2022 and Jan 2023
