SAL_CODE,african,coloured,indian,white,other
2650095,609,3,0,0,0
2650097,612,0,0,0,3
2650099,624,0,0,0,0
2650101,630,3,0,0,0
2650102,645,0,0,0,3
2650103,651,0,0,0,0
2650104,645,3,3,3,0
2650105,651,0,0,6,0
2650106,651,9,0,0,0
2650107,663,0,0,0,0
2650110,678,0,0,0,3
2650112,678,0,0,0,15
2650114,735,0,0,0,0
2650115,738,6,0,0,0
2650116,771,3,0,0,6
2650121,1191,30,0,3,0
2650023,345,0,0,0,0
2650035,387,6,3,9,0
2650007,93,12,6,120,0
2650015,18,0,0,303,3
2650016,36,3,0,291,0
2650022,54,12,9,270,3
2650028,18,9,0,333,0
2650031,33,6,0,348,0
2650079,81,12,3,468,6
2650119,129,24,6,816,9
2650054,330,156,3,0,0
2650076,162,396,0,0,0
2650080,72,12,6,471,3
2650091,132,465,3,6,3
2650100,111,36,3,480,3
2650108,177,471,15,0,0
2650111,267,33,3,375,3
2650001,36,0,0,3,0
2650042,45,336,0,57,0
2650058,78,420,3,3,0
2650064,195,327,0,6,3
2650074,345,210,3,0,0
2650088,324,261,0,3,9
2650019,93,42,6,177,18
2650036,84,33,3,279,6
2650034,402,0,0,0,0
2650057,501,0,0,0,3
2650060,519,0,0,0,3
2650062,519,6,3,0,3
2650070,540,0,3,0,6
2650073,546,3,0,3,6
2650084,567,0,0,0,12
2650086,582,0,3,0,3
2650087,582,0,3,3,9
2650092,600,3,0,0,3
2650096,615,0,0,0,0
2650109,672,0,0,0,0
2650002,3,0,0,39,0
2650085,21,54,0,504,6
2650012,312,3,0,0,0
2650018,336,0,0,0,0
2650020,336,0,0,0,3
2650024,351,0,0,0,0
2650027,354,0,0,0,6
2650037,18,387,0,6,3
2650038,33,375,6,0,6
2650039,408,9,0,0,3
2650048,450,6,0,0,0
2650051,474,0,0,0,0
2650066,540,0,0,0,0
2650078,564,3,0,0,0
2650081,567,0,6,0,3
2650017,6,3,3,324,0
2650026,144,0,3,207,3
2650030,372,6,0,0,6
2650041,429,0,3,0,0
2650043,429,0,0,0,9
2650047,369,54,0,24,0
2650052,474,0,0,0,0
2650059,513,0,0,0,3
2650072,546,3,3,0,0
2650090,255,3,0,342,3
2650098,609,0,0,0,6
